,index,generated_output
807,75876,The maximum weight recommendation is 330 lbs.
808,75877,The product has a height of 118mm.
809,75878,The depth of the product is 165 mm.
810,75879,The height of the product is 165 mm.
811,75880,The width of the product is 165 mm.
812,75881,The height of the product is 111mm.
813,75882,The product is 17.7 inches tall.
814,75883,The product has a width of 6cm (2.4 inches).
815,75884,The product has a height of 15.35 inches or 39 cm.
816,75885,The depth of the product is 8.46 inches or 21.5 centimeters.
817,75886,The height of the product is 10 inches.
818,75887,The depth of the product is 6.5 inches.
819,75888,The product has a height of 11.0 inches (28.0 cm).
820,75889,The width of the product is 7.5 cm.
821,75890,The height of the product is 8.5 cm.
822,75891,The height of the product is 8CM.
823,75892,The depth of the product is 8 cm.
824,75893,The width of the product is 13 cm (5.10 inches).
825,75894,The maximum weight recommendation is 110 kg or 243 lbs.
826,75895,The product has a width of 9 cm (3.54 inches).
827,75896,The height of the product is 9 cm (3.54 inches).
828,75897,The width of the product is 38.5 cm.
829,75898,The height of the product is 29 cm.
830,75899,The width of the product is 14mm.
831,75900,The width of the product is 20.25 inches.
832,75901,The depth of the product is 20.25 inches.
833,75902,The width of the product is 27mm.
834,75903,"The depth of the product is 27mm, which is approximately 1.06 inches."
835,75904,The depth of the product is 6cm (2.4 inches).
836,75905,The depth of the product is 18x12 cm.
837,75906,The depth of the product is 2.36 inches.
838,75907,The product has a height of 5.12 inches.
839,75908,The height of the product is 76 cm.
840,75909,The item weight is 0.2 ounces.
841,75910,The wattage of the product is 1500W.
842,75911,The height of the product is 52 cm.
843,75912,The depth of the product is 66 cm.
844,75913,The depth of the product is 5.3 inches.
845,75914,The width of the product is 5.3 inches.
846,75915,The product has a height of 7.87 inches.
847,75916,The product has a height of 32.5 inches.
848,75917,The item's weight is 0.4 grams.
849,75918,The height of the product is 6 cm.
850,75919,The width of the product is 20.7 cm.
851,75920,The depth of the product is 4.2 cm.
852,75921,The height of the product is 4.2 cm.
853,75922,The depth of the product is 7.8 cm.
854,75923,The width of the product is 7.8 cm.
855,75924,The width of the product is 1 inch.
856,75925,The depth of the product is approximately 9.4 cm.
857,75926,The product's item weight is 5 oz (141g).
858,75927,The voltage rating of the product is 120Vac.
859,75928,The depth of the product is 35.5 cm (14 inches).
860,75929,The width of the product is 35.5 cm or 14 inches.
861,75930,The width of the product is 180cm.
862,75931,The depth of the product is 180cm.
863,75932,The product's item weight is 4 ounces (oz).
864,75933,"The wattage of the product is 12,000 BTU."
865,75934,The voltage rating of the product is 115V.
866,75935,The height of the product is 10.63 inches.
867,75936,The depth of the product is 5.12 inches.
868,75937,The height of the product is 1.97 inches or 5 cm.
869,75938,The width of the product is 1.97 inches or 5 cm.
870,75939,The depth of the product is 1.97 inches or 5 cm.
871,75940,The depth of the product is 5.9 inches / 15 cm.
872,75941,The product has a height of 17.7 inches (45 cm).
873,75942,"The voltage rating of the product is not explicitly mentioned in the product illustration. However, based on the typical voltage ratings for RAM modules, it is likely that the voltage rating is between 1.8 volts and 3.3 volts."
874,75943,"The wattage of the product is not explicitly stated in the image. However, the product is labeled as ""120V HYBRID 2 Kits,"" which suggests that it is a 120-volt product."
875,75944,The voltage rating of the product is 120V.
876,75945,The image does not provide a specific weight measurement for the product.
877,75946,The maximum weight recommendation is 330 lbs.
878,75947,"The depth of the product is 7.3 cm, which is approximately 2.9 inches."
879,75948,The product is 14.3 cm tall.
880,75949,The depth of the product is 58 cm.
881,75950,The width of the product is 58CM.
882,75951,The height of the product is 4.5 inches.
883,75952,The depth of the product is 4.5 inches.
884,75953,The depth of the product is 3.0 cm.
885,75954,The width of the product is 7.5 inches or 3.0 centimeters.
886,75955,The height of the product is 11.8 inches (30 cm).
887,75956,The product has a height of 4.72 inches.
888,75957,The depth of the product is 4.72 inches.
889,75958,The width of the product is 12 cm or 4.72 inches.
890,75959,The product's item weight is 1000W.
891,75960,The product is a 1000W power supply.
892,75961,The depth of the product is 39mm.
893,75962,The image does not provide a label indicating the maximum weight recommendation.
894,75963,The image does not provide a specific weight measurement for the product.
895,75964,The product is 7cm wide.
896,75965,"The depth of the product is 3.9 cm, which is approximately 1.54 inches."
897,75966,The product is 3.9 cm tall.
898,75967,The depth of the product is 45cm.
899,75968,The product is 45 cm high.
900,75969,The product has a height of 63 cm.
901,75970,The depth of the product is 63cm.
902,75971,The depth of the product is 0.3 inches.
903,75972,The product is 32 inches tall.
904,75973,The width of the product is 120 cm (47.2 inches).
905,75974,The width of the product is 170 cm.
906,75975,The product's item weight is 1.65 pounds.
907,75976,The width of the product is 11.81 inches or 30 centimeters.
908,75977,The height of the product is 6cm.
909,75978,The height of the product is 27 cm (10.6 inches).
910,75979,The telescoping handle is adjustable in length from 32 to 55 inches.
911,75980,The telescoping handle of the product extends fully to 55 inches or 4.5 feet.
912,75981,The telescoping handle is adjustable from 32 inches to 55 inches in length.
913,75982,The width of the product is 24 cm.
914,75983,The depth of the product is 24 cm.
915,75984,"The product is a can of Monster Energy, which is 16 fluid ounces in volume."
916,75985,The width of the product is 6.625 inches.
917,75986,The product has a height of 6.625 inches.
918,75987,The height of the product is 47mm.
919,75988,The depth of the product is 10 cm.
920,75989,The product has a width of 10cm.
921,75990,The product has a width of 44 cm.
922,75991,The product's item weight is 14.5 oz.
923,75992,The width of the product is 5.2 inches.
924,75993,The depth of the product is 3.7 inches.
925,75994,The product has a height of 2.75 inches.
926,75995,"The depth of the product is 70mm, which is approximately 2.75 inches."
927,75996,The height of the product is 9 cm.
928,75997,The height of the product is 18-1/2 inches.
929,75998,"The width of the product is 18-1/2""."
930,75999,The product's item weight is not explicitly indicated in the image.
931,76000,The width of the product is 12.5 inches.
932,76001,The product has a height of 15.7 inches.
933,76002,The width of the product is 12.5mm.
934,76003,The depth of the product is 2.5 cm.
935,76004,The product has a height of 2.5 cm.
936,76005,The width of the product is 22 cm.
937,76006,The height of the product is 25 cm.
938,76007,The depth of the product is 4.33 inches.
939,76008,The height of the product is 3.54 inches.
940,76009,The depth of the product is 3.5 cm.
941,76010,The width of the product in the image is 6.5 cm.
942,76011,The weight of the wheelchair is 55 lbs.
943,76012,The product has a width of 30.5mm.
944,76013,The depth of the product is 30mm.
945,76014,The width of the product is 12.3 inches (31.3 cm).
946,76015,The depth of the product is 12.3 inches (31.3 cm).
947,76016,The depth of the product is 2.4 inches or 6.1 centimeters.
948,76017,The width of the product is 1.7 inches or 4.2 cm.
949,76018,The depth of the product is 16mm.
950,76019,The width of the product is 16mm.
951,76020,The height of the product is 16mm.
952,76021,The height of the product is 33 cm.
953,76022,The height of the product is 3.4 inches.
954,76023,The depth of the product is 3.9 inches.
955,76024,The depth of the product is 256 mm.
956,76025,The width of the product is 120 mm.
957,76026,The width of the product is 10cm.
958,76027,The width of the product is 13.5 cm (5.3 inches).
959,76028,The depth of the product is 19.5 cm (7.68 inches).
960,76029,The depth of the product is 26cm.
961,76030,The depth of the product is 3.3 feet.
962,76031,The width of the product is 3.3 feet.
963,76032,The product's item weight is 2.64 oz (75g).
964,76033,The height of the product is 970mm.
965,76034,"The product's item weight is 4.9 lbs (2,006 grams)."
966,76035,The width of the product is 31.70 inches.
967,76036,The width of the product is 27cm.
968,76037,The product is 24 cm tall.
969,76038,The product's item weight is 5 lbs.
970,76039,The product's item weight is not explicitly indicated in the image.
971,76040,The wattage of the product is 30W.
972,76041,The product is 10.00 cm tall.
973,76042,The product is 10.00 cm deep.
974,76043,The width of the product is 10.00 cm / 3.93 inches.
975,76044,The product is 3.4 inches tall.
976,76045,The depth of the product is 3.4 inches.
977,76046,The depth of the product is 83mm.
978,76047,The height of the product is 5.4 cm or 2.12 inches.
979,76048,The depth of the product is 0.27 inches.
980,76049,The width of the product in the image is 0.27 inches.
981,76050,The width of the product is 95 mm.
982,76051,The depth of the product is 95 mm.
983,76052,The width of the product is 130 cm.
984,76053,The product is 23.6 inches tall.
985,76054,The width of the product is 23.6 inches.
986,76055,The depth of the product is 23.6 inches.
987,76056,The height of the product is 31.5 cm.
988,76057,The depth of the product is 31.5 cm.
989,76058,The width of the product in the image is 9 cm.
990,76059,The depth of the product is 9 cm.
991,76060,The height of the product in the image is 9 cm.
992,76061,"The height of the product is 4 7/8 inches, which is 12.4 cm."
993,76062,The depth of the product is 2.1 inches.
994,76063,The width of the product is 2.1 inches.
995,76064,The product's item weight is 16 oz (454 g).
996,76065,The width of the product is 11.79 inches or 30 centimeters.
997,76066,The depth of the product is 4.13 inches or 10.5 cm.
998,76067,"The depth of the product is 13 cm, which is 5.12 inches."
999,76068,The product has a height of 13 cm (5.12 inches).
1000,76069,The wattage of the product is not explicitly mentioned in the image.
1001,76070,"The product is a laptop with the following specifications:

- 14"" FHD IPS Touchscreen
- 8GB RAM
- 1TB SSD
- Intel Core i5 10th Gen
- Touchscreen

The voltage rating of the product is not explicitly mentioned in the product illustration."
1002,76071,The depth of the product is 29 cm or 11.4 inches.
1003,76072,The width of the product is 76 cm.
1004,76073,The depth of the product is 4.9 inches or 12.5 cm.
1005,76074,The height of the product is 4.9 inches or 12.5 cm.
1006,76075,The width of the product is 40cm.
1007,76076,The width of the product is 24.5 cm.
1008,76077,The depth of the product is 4 cm.
1009,76078,The height of the product is 40mm.
1010,76079,The width of the product is 38 mm.
1011,76080,The width of the product is 2.3 cm.
1012,76081,The width of the product is 6.49 inches or 16.5 centimeters.
1013,76082,The depth of the product is 72 inches.
1014,76083,The width of the product is 72 inches.
1015,76084,The depth of the product is 80 cm.
1016,76085,The height of the product is 6.1 inches or 15.5 centimeters.
1017,76086,The height of the product is 18 cm (7.09 inches).
1018,76087,The width of the product is 13.39 inches.
1019,76088,The height of the product is 13.39 inches.
1020,76089,The product has a height of 23.6 inches.
1021,76090,The product has a width of 57mm.
1022,76091,The height of the product is 117mm.
1023,76092,The width of the product is 19 inches.
1024,76093,The depth of the product is 60 cm.
1025,76094,The height of the product is 130 cm.
1026,76095,"The product is a laptop, not a power source. Therefore, there is no wattage information provided for this product."
1027,76096,"The product is a laptop, not a power supply. Therefore, there is no voltage rating to identify."
1028,76097,"The volume of the product can be determined by interpreting the dimensions provided on the packaging. The dimensions are:

- Width: 3 inches
- Depth: 3 inches
- Height: 3 inches

The volume can be calculated using the formula for the volume of a rectangular prism:

\[ \text{Volume} = \text{Width} \times \text{Depth} \times \text{Height} \]

\[ \text{Volume} = 3 \, \text{inches} \times 3 \, \text{inches} \times 3 \, \text{inches} \]

\[ \text{Volume} = 27 \, \text{cubic inches} \]

Therefore, the volume of the product is 27 cubic inches."
1029,76098,The depth of the product is 14 cm or 5.51 inches.
1030,76099,"The height of the product is 21 cm, which is approximately 8.27 inches."
1031,76100,The width of the product is 32.5 cm.
1032,76101,"The product dimensions are as follows:

- Height: 29.3 inches
- Width: 31.5 inches
- Depth: 19.7 inches

These dimensions give you an idea of the overall size of the product."
1033,76102,The depth of the product is 0.9 cm.
1034,76103,The product has a height of 38mm (1.50 inches) and 28mm (1.1 inches).
1035,76104,"The width of the product is 30CM/12""."
1036,76105,The width of the product is 20 cm (7.87 inches).
1037,76106,The depth of the product is 40 cm or 15.7 inches.
1038,76107,The height of the product is 20 cm (7.87 inches).
1039,76108,The depth of the product is 21cm / 8.3in.
1040,76109,The width of the product is 21cm / 8.3in.
1041,76110,The depth of the product is 16 cm or 6.3 inches.
1042,76111,"The height of the product is 16 cm, which is 6.3 inches."
1043,76112,The product has a height of 10.6 inches (27 cm).
1044,76113,The product has a height of 58mm.
1045,76114,The product is 58mm in depth.
1046,76115,The depth of the product is 1.88 inches or 4.8 cm.
1047,76116,The width of the product is 1.29 inches or 3.3 centimeters.
1048,76117,The product's item weight is 250 grams.
1049,76118,"The height of the product is 7.4x7.2cm, which is approximately 2.91x2.83 inches."
1050,76119,The width of the product is 3.3 inches (8.5 cm) for the larger spoon and 3.1 inches (8.0 cm) for the smaller spoon.
1051,76120,The product's item weight is not explicitly indicated in the image.
1052,76121,The voltage rating of the product is 28 Watts.
1053,76122,The wattage of the product is 28 Watts.
1054,76123,The product is 11 cm tall.
1055,76124,The depth of the product is 12.6 cm.
1056,76125,The width of the product is 12.6 cm.
1057,76126,The width of the product is 12.2 cm.
1058,76127,The voltage rating of the product is 300 watts.
1059,76128,The product has a 300-watt output.
1060,76129,The weight of the wheelchair is 65 lbs.
1061,76130,The height of the product is 8 inches.
1062,76131,The depth of the product is 14.3 cm (5.63 inches).
1063,76132,"The height of the product is 85mm, which is 3.35 inches."
1064,76133,The width of the product is 22mm (0.86 inches) for the knife and 67mm (2.6 inches) for the cake server.
1065,76134,The depth of the product is 22mm (0.86 inches) for the knife and 67mm (2.6 inches) for the cake server.
1066,76135,The depth of the product is 30 cm.
1067,76136,The height of the product is 260 cm.
1068,76137,The voltage rating of the product is 12V.
1069,76138,"The depth of the product is 3.4 cm, which is 1.34 inches."
1070,76139,"The rug is a half-round shape, which means it is not a full circle but rather a semi-circle. The depth of the rug cannot be determined from the image alone."
1071,76140,The width of the product is 20 inches.
1072,76141,The height of the product is 0.1 inches.
1073,76142,The depth of the product is 11 cm or 4.3 inches.
1074,76143,The height of the product is 160 cm.
1075,76144,The depth of the product is 230cm.
1076,76145,The depth of the product is 3.93 inches or 10 cm.
1077,76146,The voltage rating of the product is 12V DC.
1078,76147,The depth of the product is 4.375 inches.
1079,76148,The depth of the product is 20.9 inches (53 cm).
1080,76149,The depth of the product is 0.6 inches or 15 millimeters.
1081,76150,The product has a width of 0.6 inches or 15 millimeters.
1082,76151,The height of the product is 3.7 inches.
1083,76152,The width of the product is 8 inches.
1084,76153,The product is 8 inches deep.
1085,76154,The height of the product is 19.7 inches.
1086,76155,The voltage rating of the product is 1.2V.
1087,76156,The product's item weight is 1 oz (28.3 g).
1088,76157,The height of the product is 10.1 cm.
1089,76158,The product's item weight is 2.2 lb.
1090,76159,"The depth of the product is 4.5 cm, which is 1.77 inches."
1091,76160,The width of the product is 4.5cm or 1.77 inches.
1092,76161,The product's item weight is not explicitly indicated in the image.
1093,76162,The height of the product is 44 mm.
1094,76163,The height of the product is 240mm.
1095,76164,The width of the product is 80 cm.
1096,76165,The product has a height of 1.8 inches or 4.5 centimeters.
1097,76166,The depth of the product is 1.5 inches or 3.7 centimeters.
1098,76167,The depth of the product is 27 cm (10.6 inches).
1099,76168,The product's item weight is 32g.
1100,76169,The height of the product is 6.30 inches.
1101,76170,The height of the product is 6.5 cm.
1102,76171,The width of the product is 26cm.
1103,76172,The wattage of the product is 0.84 watts per bulb.
1104,76173,The product's item weight is not explicitly indicated in the image.
1105,76174,The voltage rating of the product is 120V.
1106,76175,The voltage rating of the product is 10.8V.
1107,76176,The product has a height of 12 cm.
1108,76177,The product's item weight is 1.4 oz.
1109,76178,The product has a height of 64.96 inches.
1110,76179,The width of the product is 11.02 inches.
1111,76180,The height of the product is 23mm.
1112,76181,The product has a width of 23mm.
1113,76182,The depth of the product is 14mm.
1114,76183,"The height of the product is 12 cm, which is 4.72 inches."
1115,76184,"The depth of the product is 12 cm, which is 4.72 inches."
1116,76185,The width of the product is 8.3 inches.
1117,76186,The image does not provide any labels or information about the maximum weight recommendation for the tent.
1118,76187,The width of the product is 151.6 cm.
1119,76188,The product's item weight is 2.01 pounds (2.01 lb).
1120,76189,The width of the product is 7 cm.
1121,76190,The depth of the product is 7 cm.
1122,76191,The height of the product in the picture is 7 cm.
1123,76192,The height of the product is 3.25 inches.
1124,76193,The depth of the product is 3.25 inches.
1125,76194,The width of the product is 17 inches or 43 cm.
1126,76195,The height of the product is 6.7 inches or 17 centimeters.
1127,76196,The voltage rating of the product is 120 Volts.
1128,76197,The wattage of the product is 10000 BTU.
1129,76198,The depth of the product is 3.2cm/1.26in.
1130,76199,The height of the product is 4.7 cm or 1.85 inches.
1131,76200,The depth of the product is 13.1 cm.
1132,76201,The height of the product is 16.1 cm.
1133,76202,The voltage rating of the product is 2700K.
1134,76203,The wattage of the product is 20 watts.
1135,76204,The product's item weight is 20 W.
1136,76205,The product's item weight is 1.76 oz (50g).
1137,76206,The height of the product is 95 cm.
1138,76207,The depth of the product is 25cm (9.84 inches).
1139,76208,The height of the product is 25cm or 9.84 inches.
1140,76209,The width of the product is 29cm (11.41 inches).
1141,76210,The depth of the product is 2.8 cm.
1142,76211,The width of the product is 218 cm.
1143,76212,The depth of the product is 26CM.
1144,76213,The product has a height of 27.5 cm.
1145,76214,"The depth of the product is not explicitly stated in the image. However, the product is described as a ""POSTCARD"" and a ""STICKER,"" which suggests that it is a physical item."
1146,76215,The depth of the product is 1.29 inches or 3.3 cm.
1147,76216,The product's item weight is 86 grams.
1148,76217,The width of the product is 7.5 cm (3.0 inches).
1149,76218,The depth of the product is 7.5 cm (3.0 inches).
1150,76219,The depth of the product is 7.8 cm.
1151,76220,The width of the product is 7.8 cm.
1152,76221,The height of the product in the image is 150 cm.
1153,76222,The depth of the product is 2CM.
1154,76223,The width of the product is 7.6 cm.
1155,76224,The depth of the product is 7.8 cm.
1156,76225,The depth of the product is 60MM.
1157,76226,The product is 67mm tall.
1158,76227,The maximum weight recommendation is 220 lbs (99.7 kg).
1159,76228,The height of the product is 2.2 inches.
1160,76229,"The product illustration mentions a ""P90.2 light chip"" and ""high brightness up to 3000lm."" The voltage rating is not explicitly mentioned in the image."
1161,76230,The product's item weight is 5.00 lbs (2.27 kg).
1162,76231,The depth of the product is 5.5 inches or 14 centimeters.
1163,76232,The width of the product is 5.5 inches or 14 centimeters.
1164,76233,The height of the product is 1.25 inches.
1165,76234,The product's item weight is 20g.
1166,76235,The height of the product is 36.00 inches.
1167,76236,The height of the product is 5 mm.
1168,76237,The voltage rating of the product is 300W.
1169,76238,The depth of the product is 13 cm.
1170,76239,The width of the product is 5 cm.
1171,76240,The height of the product is 3.3 cm.
1172,76241,The product is 6 feet tall.
1173,76242,The depth of the product is 2.6 feet or 80 centimeters.
1174,76243,The width of the product is 15 inches or 38 centimeters.
1175,76244,The depth of the product is 30 inches or 76 centimeters.
1176,76245,The height of the product in the picture is 6 cm.
1177,76246,The width of the product is 9 cm (3.54 inches).
1178,76247,The product has a height of 80 cm (31.5 inches).
1179,76248,The depth of the product is 1.65 inches / 42mm.
1180,76249,The height of the product is 8.5 cm.
1181,76250,The product's item weight is 12 oz (340g).
1182,76251,The product has a height of 40 cm.
1183,76252,The depth of the product is 30 cm.
1184,76253,The depth of the product is 6 inches.
1185,76254,The width of the product is 3.15 inches.
1186,76255,The product is 39.37 inches tall.
1187,76256,The depth of the product is 39.37 inches or 1 meter.
1188,76257,The product has a height of 38 cm.
1189,76258,The width of the product is 50-68cm.
1190,76259,The width of the product is 1.9 inches.
1191,76260,The product has a height of 5.4 inches.
1192,76261,The depth of the product is 24 inches.
1193,76262,The height of the product is 24 inches.
1194,76263,The depth of the product is 3.54 inches.
1195,76264,The width of the product is 3.54 inches.
1196,76265,The product has a height of 18 cm.
1197,76266,The product size is 48CM in length and 10CM in depth.
1198,76267,The product is 48CM high.
1199,76268,The width of the product is 19mm.
1200,76269,The height of the product in the picture is 6 cm.
1201,76270,The width of the product in the picture is 6 cm.
1202,76271,The depth of the product in the picture is 6 cm.
1203,76272,The depth of the product is 170mm.
1204,76273,The height of the product is 170mm.
1205,76274,The height of the product is 53 cm.
1206,76275,"The product is a can of Zevia Organic Tea, specifically the Peach flavor. The visible dimensions of the can are:

- Width: 2.5 cm (1 inch)
- Depth: 2.5 cm (1 inch)
- Height: 12 cm (4.72 inches)

To determine the volume of the can, we can use the formula for the volume of a rectangular prism:

\[ \text{Volume} = \text{Width} \times \text{Depth} \times \text{Height} \]

\[ \text{Volume} = 2.5 \, \text{cm} \times 2.5 \, \text{cm} \times 12 \, \text{cm} \]

\[ \text{Volume} = 62.5 \, \text{cm}^3 \]

Therefore, the volume of the can is 62.5 cubic centimeters."
1207,76276,The height of the product is 71 cm.
1208,76277,The depth of the product is 60 cm.
1209,76278,The maximum weight recommendation is 50 pounds.
1210,76279,The height of the product is 285 mm.
1211,76280,The height of the product in the image is 20cm.
1212,76281,The width of the product is 20cm.
1213,76282,The depth of the product is 20cm.
1214,76283,The height of the product is 74 cm.
1215,76284,The depth of the product is 12.2 cm.
1216,76285,The height of the product is 15.5 cm.
1217,76286,The height of the product is 45 cm.
1218,76287,The height of the product is 6 inches or 15.5 centimeters.
1219,76288,The product's item weight is 80 oz (2.27 kg).
1220,76289,The depth of the product is 13 inches.
1221,76290,"The height of the product is 13""."
1222,76291,The product has a height of 20 cm.
1223,76292,The product has a height of 6.0 inches.
1224,76293,The product is 6.0 inches deep.
1225,76294,The depth of the product is 20 inches or 51 centimeters.
1226,76295,The product has a height of 8.5 inches (21.5 cm).
1227,76296,The depth of the product is 2.7 inches (7 cm).
1228,76297,The height of the product is 27 cm (10.6 inches) for the reindeer design and 28 cm (11 inches) for the snowman design.
1229,76298,The depth of the product is 12 cm (4.72 inches) for both the reindeer and snowman designs.
1230,76299,The maximum weight recommendation is 330 pounds or 150 kilograms.
1231,76300,The height of the product is 72 inches.
1232,76301,The height of the product is 37.8 inches.
1233,76302,The depth of the product is 6.7 cm.
1234,76303,The width of the product is 6.7 cm.
1235,76304,The height of the product is 9 cm or 3.5 inches.
1236,76305,"The depth of the product is 9 cm, which is approximately 3.5 inches."
1237,76306,The depth of the product is 8 cm (3 inches).
1238,76307,The width of the product is 8 cm (3 inches).
1239,76308,The height of the product is 8 cm or 3 inches.
1240,76309,The width of the product is 35 cm.
1241,76310,The product's item weight is 3000 grams.
1242,76311,The depth of the product is 43mm (1.7 inches).
1243,76312,The width of the product is 9 cm.
1244,76313,The depth of the product is 9 cm.
1245,76314,The depth of the product is 7.07 inches or 18.0 centimeters.
1246,76315,The product has a height of 9.05 inches or 23 cm.
1247,76316,The width of the product is 14.7 inches.
1248,76317,The product is 9.44 inches tall.
1249,76318,The product information shows that the width of the product is 9.44 inches (24 cm).
1250,76319,The width of the product is 2.79 inches or 71 millimeters.
1251,76320,The height of the product is 24.5 cm.
1252,76321,"The product's item weight is indicated on the labels on the kettlebells. Here are the weights:

- 4 kg
- 6 kg
- 8 kg"
1253,76322,The product has a height of 8.5 cm.
1254,76323,The depth of the product is 8.5 cm.
1255,76324,The product's item weight is 5.5 oz.
1256,76325,The maximum weight recommendation is 600 lbs.
1257,76326,The product has a height of 45 cm.
1258,76327,The product has a width of 45 cm.
1259,76328,The depth of the product is 40cm or 15.74 inches.
1260,76329,The width of the product is 40cm or 15.74 inches.
1261,76330,The product's item weight is 279 pieces/pieces.
1262,76331,The depth of the product is 2 feet.
1263,76332,The width of the product is 2 feet.
1264,76333,The height of the product is 2 inches (5 cm).
1265,76334,The width of the product is 16 inches (40 cm).
1266,76335,The depth of the product is 10 cm.
1267,76336,The width of the product is 10cm.
1268,76337,The product is 6.25 inches tall.
1269,76338,The width of the product is 0.845 inches (2.22 centimeters).
1270,76339,The width of the product is 2.4 inches.
1271,76340,The product is 2.4 inches deep.
1272,76341,The product is 2.4 inches tall.
1273,76342,The depth of the product is 0.78 inches or 2.00 centimeters.
1274,76343,The maximum weight recommendation is 250 lbs.
1275,76344,The product has a height of 1.5 inches.
1276,76345,The depth of the product is 1.5 inches.
1277,76346,The height of the product is 45mm.
1278,76347,The voltage rating of the product is 1.5V.
1279,76348,The height of the product is 35.4 inches.
1280,76349,The width of the product is 34.6 inches.
1281,76350,The depth of the product is 32 cm.
1282,76351,The height of the product is 32 cm.
1283,76352,"The depth of the product is 254 cm (8'4"")."
1284,76353,The product has a height of 54 mm.
1285,76354,The depth of the product is 36cm.
1286,76355,The width of the product is 67cm.
1287,76356,The height of the product is 12CM.
1288,76357,The height of the product is 49 cm.
1289,76358,The product in the picture is a 178cm (1.78 meters) diameter octagonal umbrella light.
1290,76359,The depth of the product is 178 cm.
1291,76360,The product's item weight is 22.2 ounces (638 grams).
1292,76361,The height of the product is 30.5 cm (12 inches).
1293,76362,"The depth of the product is 26 cm, which is approximately 10.2 inches."
1294,76363,The product has a width of 26 cm (10.2 inches).
1295,76364,The width of the product is 38 cm.
1296,76365,The depth of the product is 15 cm (5.9 inches).
1297,76366,The height of the product is 6.5 inches.
1298,76367,The depth of the product is 20cm/7.87 inches.
1299,76368,The depth of the product is approximately 3 cm.
1300,76369,The product has a width of approximately 10.5 cm.
1301,76370,The depth of the product is 6.2 inches or 16 cm.
1302,76371,The width of the product is 6.2 inches or 16 centimeters.
1303,76372,The product's item weight is 1.3 kg.
1304,76373,The depth of the product is 1.0 inches or 2.5 centimeters.
1305,76374,The width of the product is 1.0 inches or 2.5 centimeters.
1306,76375,"The product illustration mentions the following specifications:

- 1024x600 HD Display
- 16:9 Aspect Ratio
- 300cd/m² Brightness
- Built-in speakers

The voltage rating is not explicitly mentioned in the product illustration."
1307,76376,The product has a height of 17.5 cm.
1308,76377,The depth of the product is 6.5 cm.
1309,76378,The depth of the product is 8cm.
1310,76379,The width of the product is 25 cm.
1311,76380,The height of the product is 39.8 cm.
1312,76381,The height of the product is 260mm.
1313,76382,The depth of the product is 6.3 inches or 16.0 centimeters.
1314,76383,The width of the product is 6.3 inches or 16.0 centimeters.
1315,76384,The depth of the product is 18.2 cm (7.17 inches).
1316,76385,The product's item weight is not explicitly indicated in the image.
1317,76386,The width of the product is 7 cm.
1318,76387,The height of the product is 9 cm.
1319,76388,The depth of the product is 9 cm.
1320,76389,The product has a height of 12 inches.
1321,76390,The depth of the product is 6 inches.
1322,76391,The product has a height of 10 inches.
1323,76392,The width of the product is 30 inches.
1324,76393,The height of the product is 60 inches.
1325,76394,The product has a height of 8.5 cm (3.34 inches).
1326,76395,The depth of the product is 2.5 cm or 3.34 inches.
1327,76396,The depth of the product is 30 cm.
1328,76397,The product has a height of 27 cm.
1329,76398,The width of the product is 30 cm.
1330,76399,The width of the product is 100 mm.
1331,76400,The height of the product is 200 cm.
1332,76401,The depth of the product is 200 cm.
1333,76402,The depth of the product is 1.58 inches.
1334,76403,The width of the product is 1.58 inches.
1335,76404,The product is a 24V car kettle.
1336,76405,The product is designed to be plugged into a 24V car cigarette lighter socket.
1337,76406,The height of the product is 0.6 inches.
1338,76407,The depth of the product is 127mm.
1339,76408,The width of the product is 178mm.
1340,76409,The height of the product is 127mm.
1341,76410,The depth of the product is 0.5 inches.
1342,76411,The width of the product is 2.59 inches.
1343,76412,"The height of the product is 11.22 inches, which is equivalent to 285 millimeters."
1344,76413,The height of the product is 18 inches (46.3 cm).
1345,76414,The depth of the product is 7.7 cm or 3.0 inches.
1346,76415,The width of the product is 3 inches or 8 centimeters.
1347,76416,The width of the product is 6 cm or 23.6 inches.
1348,76417,The width of the product is 3 inches.
1349,76418,"The product has three horizontal bars, each with a height of 11.5 cm."
1350,76419,The depth of the product is 35 cm.
1351,76420,The width of the product is 35 cm.
1352,76421,The depth of the product is 2.8 inches.
1353,76422,The height of the product is 3.7 inches.
1354,76423,The product has a height of 32 cm (12.6 inches).
1355,76424,The width of the product is 6.3cm (2.48 inches).
1356,76425,"The depth of the product is 4 cm, which is equivalent to 1.57 inches."
1357,76426,The product is 23 cm tall.
1358,76427,The height of the product is 8 cm (3.15 inches).
1359,76428,The depth of the product is 12cm / 4.7in.
1360,76429,The product has a height of 18.5 cm (7.3 inches).
1361,76430,The depth of the product is 15 feet.
1362,76431,The width of the product is 15 feet.
1363,76432,"The depth of the product is 14 cm, which is 5.5 inches."
1364,76433,The height of the product is 4.5 cm.
1365,76434,The depth of the product is 7 cm.
1366,76435,The width of the product is 7 cm.
1367,76436,The height of the product is 22 cm.
1368,76437,The depth of the product is 7 cm (2.8 inches).
1369,76438,The height of the product is 3.5 inches.
1370,76439,The height of the product is 75 cm.
1371,76440,The height of the product is 40 cm.
1372,76441,The depth of the product is 30 cm.
1373,76442,The depth of the product is 32 inches.
1374,76443,The depth of the product is 48cm.
1375,76444,The height of the product is 15 cm.
